Date,Open,High,Low,Close,Adj Close,Volume,Yesterday_Open,Yesterday_High,Yesterday_Low,Yesterday_Close,Yesterday_AdjClose,Yesterday_Volumne,Market
10/3/12,3130.850098,3142.360107,3115.040039,3135.22998,3135.22998,1704050000,3127.72998,3131.639893,3101.639893,3120.040039,3120.040039,1609570000,Green
10/4/12,3142.379883,3153.47998,3132.560059,3149.459961,3149.459961,1585190000,3130.850098,3142.360107,3115.040039,3135.22998,3135.22998,1704050000,Green
10/5/12,3161.209961,3171.459961,3130.76001,3136.189941,3136.189941,1607940000,3142.379883,3153.47998,3132.560059,3149.459961,3149.459961,1585190000,Red
10/8/12,3121.330078,3125.48999,3107.570068,3112.350098,3112.350098,1186260000,3161.209961,3171.459961,3130.76001,3136.189941,3136.189941,1607940000,Red
10/9/12,3108.01001,3108.01001,3062.52002,3065.02002,3065.02002,1645740000,3121.330078,3125.48999,3107.570068,3112.350098,3112.350098,1186260000,Red
10/10/12,3066.25,3071.570068,3046.780029,3051.780029,3051.780029,1788970000,3108.01001,3108.01001,3062.52002,3065.02002,3065.02002,1645740000,Red
10/11/12,3075.889893,3078.080078,3047.139893,3049.409912,3049.409912,1595020000,3066.25,3071.570068,3046.780029,3051.780029,3051.780029,1788970000,Red
10/12/12,3049.080078,3061.77002,3039.580078,3044.110107,3044.110107,1524840000,3075.889893,3078.080078,3047.139893,3049.409912,3049.409912,1595020000,Red
10/15/12,3053.209961,3066.310059,3037.27002,3064.179932,3064.179932,1563440000,3049.080078,3061.77002,3039.580078,3044.110107,3044.110107,1524840000,Green
10/16/12,3073.209961,3102.969971,3070.25,3101.169922,3101.169922,1736930000,3053.209961,3066.310059,3037.27002,3064.179932,3064.179932,1563440000,Green
10/17/12,3091.379883,3112.449951,3088.050049,3104.120117,3104.120117,1770920000,3073.209961,3102.969971,3070.25,3101.169922,3101.169922,1736930000,Green
10/18/12,3097.77002,3102.560059,3065.23999,3072.870117,3072.870117,2043290000,3091.379883,3112.449951,3088.050049,3104.120117,3104.120117,1770920000,Red
10/19/12,3066.560059,3066.560059,3000.27002,3005.620117,3005.620117,2225580000,3097.77002,3102.560059,3065.23999,3072.870117,3072.870117,2043290000,Red
10/22/12,3005.919922,3020.610107,2995.780029,3016.959961,3016.959961,1654130000,3066.560059,3066.560059,3000.27002,3005.620117,3005.620117,2225580000,Green
10/23/12,2989.439941,3006.590088,2974.070068,2990.459961,2990.459961,1830840000,3005.919922,3020.610107,2995.780029,3016.959961,3016.959961,1654130000,Red
10/24/12,3011.820068,3012.949951,2978.72998,2981.699951,2981.699951,1967000000,2989.439941,3006.590088,2974.070068,2990.459961,2990.459961,1830840000,Red
10/25/12,3005.040039,3007.709961,2975.97998,2986.120117,2986.120117,1922660000,3011.820068,3012.949951,2978.72998,2981.699951,2981.699951,1967000000,Green
10/26/12,2986.050049,2999.139893,2961.159912,2987.949951,2987.949951,1839700000,3005.040039,3007.709961,2975.97998,2986.120117,2986.120117,1922660000,Green
10/31/12,2986.850098,2989.699951,2964.939941,2977.22998,2977.22998,1806780000,2986.050049,2999.139893,2961.159912,2987.949951,2987.949951,1839700000,Red
11/1/12,2987.540039,3021.939941,2984.219971,3020.060059,3020.060059,1880140000,2986.850098,2989.699951,2964.939941,2977.22998,2977.22998,1806780000,Green
11/2/12,3033.850098,3033.850098,2981.689941,2982.129883,2982.129883,1834590000,2987.540039,3021.939941,2984.219971,3020.060059,3020.060059,1880140000,Red
11/5/12,2983.030029,3004.870117,2975.850098,2999.659912,2999.659912,1496210000,3033.850098,3033.850098,2981.689941,2982.129883,2982.129883,1834590000,Green
11/6/12,3003.709961,3024.439941,2998.929932,3011.929932,3011.929932,1782430000,2983.030029,3004.870117,2975.850098,2999.659912,2999.659912,1496210000,Green
11/7/12,2976.459961,2977.810059,2926.790039,2937.290039,2937.290039,2059690000,3003.709961,3024.439941,2998.929932,3011.929932,3011.929932,1782430000,Red
11/8/12,2942.090088,2949.699951,2895.580078,2895.580078,2895.580078,1876420000,2976.459961,2977.810059,2926.790039,2937.290039,2937.290039,2059690000,Red
